modality,signal,condition_factor,condition_level,participant_id,loo_r,loo_fisher_z
et,pupil_isc,question_level,1,sphynx_2,0.640980452907941,0.7598361717967016
physio,eda_isc,adaptation,non_adapted,sphynx_12,0.1333925145905588,0.13419224619266593
physio,eda_isc,adaptation,non_adapted,sphynx_13,0.8293508928395629,1.186053518100355
physio,eda_isc,adaptation,non_adapted,trial_1_3,-0.02195532740192651,-0.021958856178252183
physio,eda_isc,adaptation,non_adapted,sphynx_6,0.26236453202942367,0.26864604864988323
physio,eda_isc,adaptation,non_adapted,sphynx_5_1,0.19861534902697636,0.20129062424287597
physio,eda_isc,adaptation,non_adapted,sphynx_10,0.5403091104400094,0.60459205597217
physio,eda_isc,adaptation,non_adapted,sphynx_4,-0.04762633945618205,-0.04766239831419758
physio,eda_isc,adaptation,non_adapted,sphynx_11,0.6570334861752751,0.7875757055361653
physio,eda_isc,adaptation,non_adapted,sphynx_8,0.5763503575605384,0.6569803775817836
physio,eda_isc,adaptation,non_adapted,sphynx_9,0.7833578987163164,1.0540033185025741
physio,eda_isc,adaptation,non_adapted,sphynx_2,0.0434516217574919,0.04347899896084241
physio,eda_isc,adaptation,fully_adapted,sphynx_12,-0.3805949961146504,-0.4007552478637377
physio,eda_isc,adaptation,fully_adapted,sphynx_13,0.01862231660974631,0.018624469739696694
physio,eda_isc,adaptation,fully_adapted,trial_1_3,-0.03695478203306587,-0.03697161833633717
physio,eda_isc,adaptation,fully_adapted,sphynx_6,0.06831024983126795,0.06841680012467188
physio,eda_isc,adaptation,fully_adapted,sphynx_5_1,-0.39591205936278684,-0.418791751097101
physio,eda_isc,adaptation,fully_adapted,sphynx_10,0.28928537465934717,0.2977861961600549
physio,eda_isc,adaptation,fully_adapted,sphynx_4,0.0008692795005233649,0.0008692797194795696
physio,eda_isc,adaptation,fully_adapted,sphynx_11,-0.02210534573472974,-0.022108947355948642
physio,eda_isc,adaptation,fully_adapted,sphynx_8,0.2132968221872,0.21662277957877019
physio,eda_isc,adaptation,fully_adapted,sphynx_9,0.42730859000044524,0.45659941240732904
physio,eda_isc,adaptation,fully_adapted,sphynx_2,-0.11649695804320173,-0.11702830595028581
physio,eda_isc,adaptation,semi_adapted,sphynx_12,-0.6365174565550128,-0.7522972443024298
physio,eda_isc,adaptation,semi_adapted,sphynx_13,0.9074672863529625,1.512984684977945
physio,eda_isc,adaptation,semi_adapted,trial_1_3,0.07437869325861982,0.0745163093605891
physio,eda_isc,adaptation,semi_adapted,sphynx_6,-0.5586347280493604,-0.6308463645245107
physio,eda_isc,adaptation,semi_adapted,sphynx_5_1,0.9171213508332231,1.570601281898132
physio,eda_isc,adaptation,semi_adapted,sphynx_10,0.8080948013319138,1.1215137403949256
physio,eda_isc,adaptation,semi_adapted,sphynx_4,0.022591424263352495,0.022595268787556674
physio,eda_isc,adaptation,semi_adapted,sphynx_11,0.6279915967251211,0.7380929706828998
physio,eda_isc,adaptation,semi_adapted,sphynx_8,0.6775076826178216,0.8244925673780086
physio,eda_isc,adaptation,semi_adapted,sphynx_9,0.948516197640376,1.816778098355538
physio,eda_isc,adaptation,semi_adapted,sphynx_2,-0.019697756619637474,-0.01970030480001497
physio,eda_isc,graph_nodes,6,sphynx_12,-0.7999851051580787,-1.0985709154766319
physio,eda_isc,graph_nodes,6,sphynx_13,0.0049499112388317525,0.004949951666376247
physio,eda_isc,graph_nodes,6,trial_1_3,-0.02628616839419319,-0.026292225158904364
physio,eda_isc,graph_nodes,6,sphynx_6,-0.44461439531950653,-0.477967527389982
physio,eda_isc,graph_nodes,6,sphynx_10,0.6779079503172543,0.8252328277336083
physio,eda_isc,graph_nodes,6,sphynx_4,-0.04832004641739801,-0.04835770550245796
physio,eda_isc,graph_nodes,6,sphynx_11,-0.7708310787547313,-1.0223724362022792
physio,eda_isc,graph_nodes,6,sphynx_8,-0.2768213047607351,-0.28423628149413416
physio,eda_isc,graph_nodes,6,sphynx_9,0.5123125108611155,0.5658602064268852
physio,eda_isc,graph_nodes,6,sphynx_2,-0.04723122159026265,-0.04726638962580338
physio,eda_isc,graph_nodes,12,sphynx_12,0.1883501592962611,0.19062609344052933
