participant,adaptation,graph_nodes,question_level,n_trials,n_responded,response_rate,rt_mean_observed,rt_median_observed,rt_mean_analysis,rt_median_analysis
sphynx_6,non_adapted,6,1,4,4,1.0,5.670357425013151,5.460791299992593,5.670357425013151,5.460791299992593
sphynx_6,non_adapted,6,2,4,3,0.75,10.481004733301196,9.544537899957504,10.481004733301196,9.544537899957504
sphynx_6,non_adapted,12,1,4,4,1.0,8.154698475002135,8.126336300018124,8.154698475002135,8.126336300018124
sphynx_6,non_adapted,12,2,4,2,0.5,14.738041500007967,14.738041500007967,14.738041500007967,14.738041500007967
sphynx_6,semi_adapted,6,1,4,4,1.0,3.2922755249892504,3.4719225000008294,3.2922755249892504,3.4719225000008294
sphynx_6,semi_adapted,6,2,4,4,1.0,9.184263049988601,9.093828749988461,9.184263049988601,9.093828749988461
sphynx_6,semi_adapted,12,1,4,4,1.0,3.7505766249815906,3.9774459499752197,3.7505766249815906,3.9774459499752197
sphynx_6,semi_adapted,12,2,4,2,0.5,11.807218550005814,11.807218550005814,11.807218550005814,11.807218550005814
sphynx_7,fully_adapted,6,1,4,4,1.0,6.057810600002853,4.826294600032156,6.057810600002853,4.826294600032156
sphynx_7,fully_adapted,6,2,4,4,1.0,8.553550600015981,9.119227799994434,8.553550600015981,9.119227799994434
sphynx_7,fully_adapted,12,1,4,4,1.0,5.112400949990786,4.847442350001074,5.112400949990786,4.847442350001074
sphynx_7,fully_adapted,12,2,4,4,1.0,11.657363499980647,11.093196499976557,11.657363499980647,11.093196499976557
sphynx_7,non_adapted,6,1,4,4,1.0,7.0579748750606655,7.0684986000416075,7.0579748750606655,7.0684986000416075
sphynx_7,non_adapted,6,2,4,4,1.0,11.950696225045249,12.43412720004551,11.950696225045249,12.43412720004551
sphynx_7,non_adapted,12,1,4,4,1.0,11.668584850005573,9.943340500001682,11.668584850005573,9.943340500001682
sphynx_7,non_adapted,12,2,4,3,0.75,15.934603399985159,15.553835900034755,15.934603399985159,15.553835900034755
sphynx_7,semi_adapted,6,1,4,4,1.0,3.309775474976007,3.218401199963324,3.309775474976007,3.218401199963324
sphynx_7,semi_adapted,6,2,4,4,1.0,13.843506649980554,14.220303099951707,13.843506649980554,14.220303099951707
sphynx_7,semi_adapted,12,1,4,4,1.0,8.020151274977195,7.343903000000864,8.020151274977195,7.343903000000864
sphynx_7,semi_adapted,12,2,4,4,1.0,13.414747350034247,13.041457300016077,13.414747350034247,13.041457300016077
sphynx_8,fully_adapted,6,1,4,4,1.0,5.287545374973014,5.97122795000918,5.287545374973014,5.97122795000918
sphynx_8,fully_adapted,6,2,4,4,1.0,6.255568449967541,6.117410199949404,6.255568449967541,6.117410199949404
sphynx_8,fully_adapted,12,1,4,3,0.75,5.80717570000949,5.332011800026521,5.80717570000949,5.332011800026521
sphynx_8,fully_adapted,12,2,4,3,0.75,8.467033833304109,8.354163500014465,8.467033833304109,8.354163500014465
sphynx_8,non_adapted,6,1,4,4,1.0,9.820939274999546,9.048132999974882,9.820939274999546,9.048132999974882
sphynx_8,non_adapted,6,2,4,3,0.75,12.316427433320163,11.258821499999613,12.316427433320163,11.258821499999613
