kind,source,feature,outcome,n,spearman_r,p_raw,mean_feature_delta,mean_outcome_delta,p_fdr_outcome,sig_raw_0.05,sig_fdr_outcome
paired_non_minus_full,clipgaze,saliency_entropy,delta_rt_median,16,0.06764705882352941,0.8034203137966693,-0.031934962250591115,2.87464056875812,0.9579242202960289,False,False
paired_non_minus_full,clipgaze,saliency_entropy,delta_accuracy,16,0.04751520474617288,0.8612831596758154,-0.031934962250591115,-0.08653846153846154,0.9564742244086675,False,False
paired_non_minus_full,clipgaze,saliency_entropy,delta_response_rate,16,-0.11858791244948676,0.661804979615314,-0.031934962250591115,-0.08173076923076925,0.9656870340134402,False,False
paired_non_minus_full,clipgaze,saliency_entropy,delta_et_n_fixations,16,0.19202551904653165,0.4761745880614837,-0.031934962250591115,-5.90625,0.6905982285222954,False,False
paired_non_minus_full,clipgaze,saliency_entropy,delta_et_mean_fix_dur,16,0.11470588235294117,0.6722910465997233,-0.031934962250591115,0.07918801908214973,0.9473192020268827,False,False
paired_non_minus_full,clipgaze,saliency_entropy,delta_et_mean_saccade_mag,16,0.24705882352941175,0.35627504151257744,-0.031934962250591115,-2.1825431256641146,0.5982975602745494,False,False
paired_non_minus_full,clipgaze,saliency_center_bias,delta_rt_median,16,0.07058823529411765,0.7950393023376281,-0.01003100761304565,2.87464056875812,0.9579242202960289,False,False
paired_non_minus_full,clipgaze,saliency_center_bias,delta_accuracy,16,0.16481836646328715,0.5418684747389311,-0.01003100761304565,-0.08653846153846154,0.9526467211970105,False,False
paired_non_minus_full,clipgaze,saliency_center_bias,delta_response_rate,16,-0.044662980013443064,0.8695415673059766,-0.01003100761304565,-0.08173076923076925,0.9683916249720633,False,False
paired_non_minus_full,clipgaze,saliency_center_bias,delta_et_n_fixations,16,0.03397374567746329,0.9005976053013898,-0.01003100761304565,-5.90625,0.9005976053013898,False,False
paired_non_minus_full,clipgaze,saliency_center_bias,delta_et_mean_fix_dur,16,0.15,0.5792486306642535,-0.01003100761304565,0.07918801908214973,0.8550813119329457,False,False
paired_non_minus_full,clipgaze,saliency_center_bias,delta_et_mean_saccade_mag,16,0.07647058823529412,0.778340980960703,-0.01003100761304565,-2.1825431256641146,0.8895010617034554,False,False
paired_non_minus_full,clipgaze,saliency_spread,delta_rt_median,16,0.08529411764705883,0.7534650694747835,-4.396993692750511,2.87464056875812,0.9579242202960289,False,False
paired_non_minus_full,clipgaze,saliency_spread,delta_accuracy,16,-0.16778806675992297,0.534508366787166,-4.396993692750511,-0.08653846153846154,0.9526467211970105,False,False
paired_non_minus_full,clipgaze,saliency_spread,delta_response_rate,16,-0.14322955659483466,0.5966763463537035,-4.396993692750511,-0.08173076923076925,0.9656870340134402,False,False
paired_non_minus_full,clipgaze,saliency_spread,delta_et_n_fixations,16,-0.0694246107322076,0.7983526421359339,-4.396993692750511,-5.90625,0.8643037520968538,False,False
paired_non_minus_full,clipgaze,saliency_spread,delta_et_mean_fix_dur,16,0.2588235294117647,0.3330723066336084,-4.396993692750511,0.07918801908214973,0.6453275941026162,False,False
paired_non_minus_full,clipgaze,saliency_spread,delta_et_mean_saccade_mag,16,-0.06764705882352941,0.8034203137966693,-4.396993692750511,-2.1825431256641146,0.8895010617034554,False,False
paired_non_minus_full,clipgaze,saliency_skewness,delta_rt_median,16,-0.08823529411764705,0.7452220943671326,0.1680279974820758,2.87464056875812,0.9579242202960289,False,False
paired_non_minus_full,clipgaze,saliency_skewness,delta_accuracy,16,-0.33112158307489226,0.21029387829488125,0.1680279974820758,-0.08653846153846154,0.650178697926013,False,False
paired_non_minus_full,clipgaze,saliency_skewness,delta_response_rate,16,0.21407428351270982,0.42595588388097494,0.1680279974820758,-0.08173076923076925,0.9656870340134402,False,False
paired_non_minus_full,clipgaze,saliency_skewness,delta_et_n_fixations,16,-0.21270519032846583,0.428991506046754,0.1680279974820758,-5.90625,0.6649368343724686,False,False
paired_non_minus_full,clipgaze,saliency_skewness,delta_et_mean_fix_dur,16,-0.05294117647058824,0.8456104411493658,0.1680279974820758,0.07918801908214973,0.9739022165316701,False,False
paired_non_minus_full,clipgaze,saliency_skewness,delta_et_mean_saccade_mag,16,-0.33529411764705885,0.20425458084551504,0.1680279974820758,-2.1825431256641146,0.5982975602745494,False,False
paired_non_minus_full,clipgaze,saliency_kurtosis,delta_rt_median,16,-0.12352941176470587,0.6485420669723406,2.433720352444934,2.87464056875812,0.9579242202960289,False,False
paired_non_minus_full,clipgaze,saliency_kurtosis,delta_accuracy,16,-0.31924278188834904,0.2281097474243818,2.433720352444934,-0.08653846153846154,0.650178697926013,False,False
paired_non_minus_full,clipgaze,saliency_kurtosis,delta_response_rate,16,0.2217747973081311,0.40909103166666694,2.433720352444934,-0.08173076923076925,0.9656870340134402,False,False
paired_non_minus_full,clipgaze,saliency_kurtosis,delta_et_n_fixations,16,-0.2466789360059291,0.35703898049033117,2.433720352444934,-5.90625,0.6649368343724686,False,False
paired_non_minus_full,clipgaze,saliency_kurtosis,delta_et_mean_fix_dur,16,-0.044117647058823525,0.8711220048065985,2.433720352444934,0.07918801908214973,0.9739022165316701,False,False
paired_non_minus_full,clipgaze,saliency_kurtosis,delta_et_mean_saccade_mag,16,-0.33529411764705885,0.20425458084551504,2.433720352444934,-2.1825431256641146,0.5982975602745494,False,False
paired_non_minus_full,clipgaze,fixation_duration_mean,delta_rt_median,16,0.15,0.5792486306642535,-0.28821754455565696,2.87464056875812,0.9579242202960289,False,False
paired_non_minus_full,clipgaze,fixation_duration_mean,delta_accuracy,16,-0.0668182566743056,0.8057856927766214,-0.28821754455565696,-0.08653846153846154,0.9564742244086675,False,False
paired_non_minus_full,clipgaze,fixation_duration_mean,delta_response_rate,16,0.016941130349926677,0.950346655257056,-0.28821754455565696,-0.08173076923076925,0.9683916249720633,False,False
paired_non_minus_full,clipgaze,fixation_duration_mean,delta_et_n_fixations,16,-0.341214576151914,0.19587944642869284,-0.28821754455565696,-5.90625,0.5520238944808616,False,False
paired_non_minus_full,clipgaze,fixation_duration_mean,delta_et_mean_fix_dur,16,0.3147058823529411,0.23515831926634437,-0.28821754455565696,0.07918801908214973,0.6064641786424004,False,False
paired_non_minus_full,clipgaze,fixation_duration_mean,delta_et_mean_saccade_mag,16,-0.2823529411764706,0.2893498290632738,-0.28821754455565696,-2.1825431256641146,0.5982975602745494,False,False
paired_non_minus_full,clipgaze,fixation_duration_std,delta_rt_median,16,-0.18529411764705883,0.492057050205944,0.1746199407441016,2.87464056875812,0.9579242202960289,False,False
paired_non_minus_full,clipgaze,fixation_duration_std,delta_accuracy,16,0.1306668130519754,0.6295597586401104,0.1746199407441016,-0.08653846153846154,0.9526467211970105,False,False
paired_non_minus_full,clipgaze,fixation_duration_std,delta_response_rate,16,-0.12936863176307645,0.6329966386885577,0.1746199407441016,-0.08173076923076925,0.9656870340134402,False,False
paired_non_minus_full,clipgaze,fixation_duration_std,delta_et_n_fixations,16,0.1861170415374076,0.4901019686287257,0.1746199407441016,-5.90625,0.6905982285222954,False,False
paired_non_minus_full,clipgaze,fixation_duration_std,delta_et_mean_fix_dur,16,-0.17058823529411765,0.5276097688612683,0.1746199407441016,0.07918801908214973,0.8177951417349659,False,False
paired_non_minus_full,clipgaze,fixation_duration_std,delta_et_mean_saccade_mag,16,0.5235294117647059,0.037412648130149384,0.1746199407441016,-2.1825431256641146,0.2319584184069262,True,False
paired_non_minus_full,clipgaze,scanpath_length,delta_rt_median,16,-0.2441176470588235,0.36221349614195036,0.2053252350273027,2.87464056875812,0.9579242202960289,False,False
paired_non_minus_full,clipgaze,scanpath_length,delta_accuracy,16,0.04306065430121917,0.8741865882117725,0.2053252350273027,-0.08653846153846154,0.9564742244086675,False,False
paired_non_minus_full,clipgaze,scanpath_length,delta_response_rate,16,0.1909727421264462,0.47864197296081135,0.2053252350273027,-0.08173076923076925,0.9656870340134402,False,False
paired_non_minus_full,clipgaze,scanpath_length,delta_et_n_fixations,16,-0.42245614190236963,0.10307374682407341,0.2053252350273027,-5.90625,0.4564694502208965,False,False
paired_non_minus_full,clipgaze,scanpath_length,delta_et_mean_fix_dur,16,0.29411764705882354,0.26884655462289303,0.2053252350273027,0.07918801908214973,0.6064641786424004,False,False
paired_non_minus_full,clipgaze,scanpath_length,delta_et_mean_saccade_mag,16,0.09999999999999999,0.7125163701282782,0.2053252350273027,-2.1825431256641146,0.849538748999101,False,False
paired_non_minus_full,clipgaze,scanpath_complexity,delta_rt_median,16,-0.22058823529411767,0.41166643049796364,0.05445505116362913,2.87464056875812,0.9579242202960289,False,False
paired_non_minus_full,clipgaze,scanpath_complexity,delta_accuracy,16,0.0638485563776698,0.8142739739103096,0.05445505116362913,-0.08653846153846154,0.9564742244086675,False,False
paired_non_minus_full,clipgaze,scanpath_complexity,delta_response_rate,16,0.18943263936736196,0.48226263745815845,0.05445505116362913,-0.08173076923076925,0.9656870340134402,False,False
paired_non_minus_full,clipgaze,scanpath_complexity,delta_et_n_fixations,16,-0.30280947234260763,0.254283718238013,0.05445505116362913,-5.90625,0.6063688665675694,False,False
paired_non_minus_full,clipgaze,scanpath_complexity,delta_et_mean_fix_dur,16,0.2911764705882353,0.27388704841914857,0.05445505116362913,0.07918801908214973,0.6064641786424004,False,False
paired_non_minus_full,clipgaze,scanpath_complexity,delta_et_mean_saccade_mag,16,-0.0411764705882353,0.8796536149318311,0.05445505116362913,-2.1825431256641146,0.9089754020962254,False,False
paired_non_minus_full,clipgaze,mean_saccade_mag,delta_rt_median,16,-0.2352941176470588,0.3803558011886571,-0.15008155580326354,2.87464056875812,0.9579242202960289,False,False
